DateTime,19.83 75.87
2026-06-01,0.0000
2026-06-02,0.0346
2026-06-03,0.0000
2026-06-04,0.0000
2026-06-05,0.0611
2026-06-06,0.0000
2026-06-07,0.0102
2026-06-08,0.0000
2026-06-09,4.9082
2026-06-10,0.0000
2026-06-11,0.0000
2026-06-12,0.0000
2026-06-13,0.1425
2026-06-14,0.0000
2026-06-15,0.0000
2026-06-16,0.0000
2026-06-17,0.0000
2026-06-18,0.0000
2026-06-19,0.0000
2026-06-20,0.0000
2026-06-21,0.0000
2026-06-22,0.0000
2026-06-23,0.2850
2026-06-24,38.3435
2026-06-25,2.4183
2026-06-26,5.4163
2026-06-27,0.1649
2026-06-28,7.0930
2026-06-29,0.0489
